ITEM,DESCRIPTION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
12112125,LOFT PRTBL BASSINET CHVRN MLNG,0,297,247,270,290,237,250,250,309,310,89,303
12122125,LYRIC MUSICAL BNCER CHVRN MLNG,0,0,0,0,0,0,0,0,0,0,0,0
12132125,PILLO PRTBL NAPPER CHVRON MLNG,0,0,0,0,0,0,15,0,0,0,0,0
13812254,PIVOT XPAND STROLLER PERCHERON,0,132,96,103,103,91,103,103,220,331,150,146
13812255,PIVOT XPAND STROLLER STALLION ,0,107,67,74,74,66,74,74,0,107,35,165
15311935,CAMBRIDGE STRLR LD329 SKY BLUE,0,0,0,0,0,0,0,0,0,0,0,0
15BD2Y-PKKU     ,URB NESTI PLYRD PINK          ,0,0,0,0,0,0,0,0,0,0,0,0
15BD2Y-TLKU     ,URB NESTI PLYRD TEAL          ,0,0,0,0,0,0,0,0,0,0,0,0
1602100,EXPANSION SWING WIDE GATE .COM,0,3174,3053,3384,5062,4824,3250,3250,2152,4027,1597,3529
1603200,EXPANSION WALK THRU FARMHOUSE ,0,555,1065,534,534,497,534,534,108,79,250,493
17211856,VCTRY JOG STRL TUCSON         ,0,0,0,0,0,0,0,0,0,0,0,0
17411935,CHARLESTON JGGR P5016 SKY BLUE,0,0,0,0,0,0,0,0,0,0,0,0
17612030,PRLLL TNDM STRLLR GLENBARR GRY,0,0,0,0,0,0,0,0,0,0,0,0
17832030,MINNO TWIN STRLLR GLENBARR GRY,0,383,362,181,248,480,400,400,193,238,259,250
17922030,MINNO LGHTWT STRLLR GLNBRR GRY,0,0,0,0,0,0,0,0,0,0,0,0
17922138,MINNO LTWT STRLLR MCHCCINO BWN,0,0,0,0,0,0,0,0,0,0,0,0
17922139,MINNO LTWT STROLLER REALLY RED,0,0,0,0,0,0,0,0,0,0,0,0
17922140,MINNO LTWT STRLLR SEASHORE BLU,0,0,0,0,0,0,0,0,0,0,0,0
19132263,PIVOT XPLORE STROLLER WAYFARER,0,0,0,0,0,0,0,0,0,0,0,12
19132264,PIVOT XPLORE STROLLER GYPSY   ,0,0,0,0,0,0,0,0,0,0,0,0
19142265,AERO ULTRA LGHTWGHT STRL DOVE ,0,92,85,110,120,117,75,21,21,20,0,8
19142276,AERO ULTRA LGHTWGHT STRL LARK ,0,34,41,80,92,130,50,17,17,13,11,11
19152276,AERO ULTRALGHTWGHTDBLSTRL LARK,0,12,12,25,35,48,30,12,12,12,20,20
19152282,AERO ULTRALGTWGTDBLSTRL OSPREY,0,66,62,65,20,20,20,5,4,4,20,15
19312207A       ,UMBRELLA STROLLER CARMINE     ,0,0,0,0,0,0,0,0,0,0,0,0
19312208A       ,UMBRELLA STROLLER HARBOR BLUE ,0,0,0,0,0,0,0,0,0,0,0,0
19312209A       ,UMBRELLA STROLLER TRUE RED    ,0,0,0,0,0,0,0,0,0,0,0,0
19612212A       ,UMBRELLA STRLR TL LNEAR TRNGLS,0,0,0,0,0,0,0,0,0,0,0,0
